Date,Ticker,Daily Return,Cumulative Return
2019-01-03,AAPL,-0.099607,-0.099607
2019-01-04,AAPL,0.042689,-0.061171
2019-01-07,AAPL,-0.002226,-0.06326
2019-01-08,AAPL,0.019063,-0.045403
2019-01-09,AAPL,0.016981,-0.029192
2019-01-10,AAPL,0.003196,-0.026089
2019-01-11,AAPL,-0.009818,-0.035651
2019-01-14,AAPL,-0.015037,-0.050152
2019-01-15,AAPL,0.020467,-0.030712
2019-01-16,AAPL,0.012216,-0.01887
2019-01-17,AAPL,0.005938,-0.013044
2019-01-18,AAPL,0.006159,-0.006966
2019-01-22,AAPL,-0.022446,-0.029255
2019-01-23,AAPL,0.004044,-0.02533
2019-01-24,AAPL,-0.007926,-0.033054
2019-01-25,AAPL,0.033137,-0.001013
2019-01-28,AAPL,-0.009254,-0.010258
2019-01-29,AAPL,-0.010365,-0.020517
2019-01-30,AAPL,0.068335,0.046416
2019-01-31,AAPL,0.007202,0.053952
2019-02-01,AAPL,0.000481,0.054458
2019-02-04,AAPL,0.028405,0.08441
2019-02-05,AAPL,0.017109,0.102963
2019-02-06,AAPL,0.000345,0.103344
2019-02-07,AAPL,-0.018939,0.082447
2019-02-08,AAPL,0.001175,0.083719
2019-02-11,AAPL,-0.005751,0.077486
2019-02-12,AAPL,0.008617,0.086771
2019-02-13,AAPL,-0.004155,0.082256
2019-02-14,AAPL,0.003643,0.086199
2019-02-15,AAPL,-0.002225,0.083782
2019-02-19,AAPL,0.002992,0.087025
2019-02-20,AAPL,0.006436,0.094021
2019-02-21,AAPL,-0.005639,0.087852
2019-02-22,AAPL,0.011166,0.099999
2019-02-25,AAPL,0.007285,0.108012
2019-02-26,AAPL,0.000574,0.108648
2019-02-27,AAPL,0.003097,0.112082
2019-02-28,AAPL,-0.009836,0.101144
2019-03-01,AAPL,0.010511,0.112718
2019-03-04,AAPL,0.00503,0.118314
2019-03-05,AAPL,-0.00182,0.116279
2019-03-06,AAPL,-0.005754,0.109856
2019-03-07,AAPL,-0.011575,0.09701
2019-03-08,AAPL,0.002377,0.099617
2019-03-11,AAPL,0.034642,0.137711
2019-03-12,AAPL,0.011236,0.150493
2019-03-13,AAPL,0.004422,0.155581
2019-03-14,AAPL,0.011117,0.168427
2019-03-15,AAPL,0.013008,0.183626
2019-03-18,AAPL,0.010209,0.195709
2019-03-19,AAPL,-0.007925,0.186233
