Date,Strategy,Ticker,Weight
2019-05-01,Equal Weight,AAPL,0.083333
2019-05-01,Equal Weight,MSFT,0.083333
2019-05-01,Equal Weight,GOOGL,0.083333
2019-05-01,Equal Weight,JPM,0.083333
2019-05-01,Equal Weight,JNJ,0.083333
2019-05-01,Equal Weight,PG,0.083333
2019-05-01,Equal Weight,XOM,0.083333
2019-05-01,Equal Weight,CAT,0.083333
2019-05-01,Equal Weight,AMZN,0.083333
2019-05-01,Equal Weight,BRK-B,0.083333
2019-05-01,Equal Weight,LLY,0.083333
2019-05-01,Equal Weight,NEE,0.083333
2019-06-03,Equal Weight,AAPL,0.083333
2019-06-03,Equal Weight,MSFT,0.083333
2019-06-03,Equal Weight,GOOGL,0.083333
2019-06-03,Equal Weight,JPM,0.083333
2019-06-03,Equal Weight,JNJ,0.083333
2019-06-03,Equal Weight,PG,0.083333
2019-06-03,Equal Weight,XOM,0.083333
2019-06-03,Equal Weight,CAT,0.083333
2019-06-03,Equal Weight,AMZN,0.083333
2019-06-03,Equal Weight,BRK-B,0.083333
2019-06-03,Equal Weight,LLY,0.083333
2019-06-03,Equal Weight,NEE,0.083333
2019-07-01,Equal Weight,AAPL,0.083333
2019-07-01,Equal Weight,MSFT,0.083333
2019-07-01,Equal Weight,GOOGL,0.083333
2019-07-01,Equal Weight,JPM,0.083333
2019-07-01,Equal Weight,JNJ,0.083333
2019-07-01,Equal Weight,PG,0.083333
2019-07-01,Equal Weight,XOM,0.083333
2019-07-01,Equal Weight,CAT,0.083333
2019-07-01,Equal Weight,AMZN,0.083333
2019-07-01,Equal Weight,BRK-B,0.083333
2019-07-01,Equal Weight,LLY,0.083333
2019-07-01,Equal Weight,NEE,0.083333
2019-08-01,Equal Weight,AAPL,0.083333
2019-08-01,Equal Weight,MSFT,0.083333
2019-08-01,Equal Weight,GOOGL,0.083333
2019-08-01,Equal Weight,JPM,0.083333
2019-08-01,Equal Weight,JNJ,0.083333
2019-08-01,Equal Weight,PG,0.083333
2019-08-01,Equal Weight,XOM,0.083333
2019-08-01,Equal Weight,CAT,0.083333
2019-08-01,Equal Weight,AMZN,0.083333
2019-08-01,Equal Weight,BRK-B,0.083333
2019-08-01,Equal Weight,LLY,0.083333
2019-08-01,Equal Weight,NEE,0.083333
2019-09-03,Equal Weight,AAPL,0.083333
2019-09-03,Equal Weight,MSFT,0.083333
2019-09-03,Equal Weight,GOOGL,0.083333
2019-09-03,Equal Weight,JPM,0.083333
2019-09-03,Equal Weight,JNJ,0.083333
2019-09-03,Equal Weight,PG,0.083333
2019-09-03,Equal Weight,XOM,0.083333
2019-09-03,Equal Weight,CAT,0.083333
2019-09-03,Equal Weight,AMZN,0.083333
2019-09-03,Equal Weight,BRK-B,0.083333
2019-09-03,Equal Weight,LLY,0.083333
2019-09-03,Equal Weight,NEE,0.083333
2019-10-01,Equal Weight,AAPL,0.083333
2019-10-01,Equal Weight,MSFT,0.083333
2019-10-01,Equal Weight,GOOGL,0.083333
2019-10-01,Equal Weight,JPM,0.083333
2019-10-01,Equal Weight,JNJ,0.083333
2019-10-01,Equal Weight,PG,0.083333
2019-10-01,Equal Weight,XOM,0.083333
2019-10-01,Equal Weight,CAT,0.083333
2019-10-01,Equal Weight,AMZN,0.083333
2019-10-01,Equal Weight,BRK-B,0.083333
2019-10-01,Equal Weight,LLY,0.083333
2019-10-01,Equal Weight,NEE,0.083333
2019-11-01,Equal Weight,AAPL,0.083333
2019-11-01,Equal Weight,MSFT,0.083333
2019-11-01,Equal Weight,GOOGL,0.083333
2019-11-01,Equal Weight,JPM,0.083333
2019-11-01,Equal Weight,JNJ,0.083333
2019-11-01,Equal Weight,PG,0.083333
2019-11-01,Equal Weight,XOM,0.083333
2019-11-01,Equal Weight,CAT,0.083333
2019-11-01,Equal Weight,AMZN,0.083333
2019-11-01,Equal Weight,BRK-B,0.083333
2019-11-01,Equal Weight,LLY,0.083333
2019-11-01,Equal Weight,NEE,0.083333
2019-12-02,Equal Weight,AAPL,0.083333
2019-12-02,Equal Weight,MSFT,0.083333
2019-12-02,Equal Weight,GOOGL,0.083333
2019-12-02,Equal Weight,JPM,0.083333
2019-12-02,Equal Weight,JNJ,0.083333
2019-12-02,Equal Weight,PG,0.083333
2019-12-02,Equal Weight,XOM,0.083333
2019-12-02,Equal Weight,CAT,0.083333
2019-12-02,Equal Weight,AMZN,0.083333
