Date,Strategy,Portfolio Value,Normalized Value,Daily Return
2019-01-03,Equal Weight,969265.49,1.0,-0.030735
2019-01-04,Equal Weight,1003441.19,1.035259,0.035259
2019-01-07,Equal Weight,1006805.4,1.03873,0.003353
2019-01-08,Equal Weight,1015991.14,1.048207,0.009124
2019-01-09,Equal Weight,1017363.6,1.049623,0.001351
2019-01-10,Equal Weight,1019180.1,1.051497,0.001786
2019-01-11,Equal Weight,1015203.01,1.047394,-0.003902
2019-01-14,Equal Weight,1006654.24,1.038574,-0.008421
2019-01-15,Equal Weight,1021994.27,1.054401,0.015239
2019-01-16,Equal Weight,1024266.05,1.056745,0.002223
2019-01-17,Equal Weight,1032371.67,1.065107,0.007914
2019-01-18,Equal Weight,1041995.35,1.075036,0.009322
2019-01-22,Equal Weight,1024658.87,1.05715,-0.016638
2019-01-23,Equal Weight,1032056.63,1.064782,0.00722
2019-01-24,Equal Weight,1028431.0,1.061042,-0.003513
2019-01-25,Equal Weight,1035846.79,1.068693,0.007211
2019-01-28,Equal Weight,1020792.23,1.053161,-0.014534
2019-01-29,Equal Weight,1019220.42,1.051539,-0.00154
2019-01-30,Equal Weight,1042332.86,1.075384,0.022677
2019-01-31,Equal Weight,1055984.58,1.089469,0.013097
2019-02-01,Equal Weight,1054740.05,1.088185,-0.001179
2019-02-04,Equal Weight,1059935.47,1.093545,0.004926
2019-02-05,Equal Weight,1065543.5,1.099331,0.005291
2019-02-06,Equal Weight,1058803.21,1.092377,-0.006326
2019-02-07,Equal Weight,1047880.87,1.081108,-0.010316
2019-02-08,Equal Weight,1048525.07,1.081773,0.000615
2019-02-11,Equal Weight,1047761.17,1.080985,-0.000729
2019-02-12,Equal Weight,1064884.87,1.098651,0.016343
2019-02-13,Equal Weight,1066290.9,1.100102,0.00132
2019-02-14,Equal Weight,1064011.01,1.09775,-0.002138
2019-02-15,Equal Weight,1074578.05,1.108652,0.009931
2019-02-19,Equal Weight,1077956.12,1.112137,0.003144
2019-02-20,Equal Weight,1081580.98,1.115877,0.003363
2019-02-21,Equal Weight,1079554.49,1.113786,-0.001874
2019-02-22,Equal Weight,1085089.04,1.119496,0.005127
2019-02-25,Equal Weight,1088913.25,1.123442,0.003524
